Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"5 of Diamonds, 2 of Clubs, Ace of Spades",18,"Queen of Clubs, 9 of Clubs",19,[],,20,10010,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"4 of Clubs, 3 of Clubs, 5 of Hearts, 8 of Diamonds",20,"8 of Clubs, 8 of Diamonds, Ace of Clubs",17,[],,-10,9990,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"6 of Clubs, 10 of Spades, Ace of Spades",17,"10 of Clubs, 5 of Spades, 6 of Hearts",21,[],,20,10000,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Clubs, 6 of Diamonds, 10 of Clubs",23,"6 of Diamonds, 4 of Spades, 2 of Hearts, 9 of Hearts",21,[],,20,10010,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"7 of Hearts, 4 of Spades, 7 of Hearts",18,"6 of Clubs, 3 of Diamonds, 8 of Spades",17,[],,-10,9990,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"Queen of Clubs, King of Diamonds",20,"Jack of Clubs, Ace of Spades",21,[],,20,10000,10,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
"2 of Spades, 10 of Spades, 6 of Hearts",18,"5 of Spades, Queen of Diamonds, King of Spades",25,[],,-10,9980,-20,strat1
Dealer Hand,Dealer Hand Value,Player Hand,Player Hand Value,Split Hand,Split Hand Value,Profit,Balance,Revenue,Strategy
